name
"The Santa Clause 2,The Haunted Mansion,Multiplicity,The Whole Ten Yards,The Santa Clause,Jingle All the Way,Home Alone,Bedtime Stories,The Game Plan,Liar Liar,A Christmas Carol,Christmas with the Kranks,Jeff, Who Lives at Home,1982,Alfie,The Truman Show,Stardust,Ladder 49,Should've Been Romeo,The Sorcerer's Apprentice,Flying By,The R.M.,Teen Wolf Too,We Bought a Zoo,About Schmidt"
"Les Misérables,The Sound of Music,Across the Universe,The Boat That Rocked,Moulin Rouge!,Oliver!,Yentl,Sparkle,Masked and Anonymous,Walk Hard: The Dewey Cox Story,That Thing You Do!,The Soloist,Evita,Begin Again,Anna Karenina,Love Me Tender,High School Musical,Annie Get Your Gun,The Last Five Years,Mr. Holland's Opus,42nd Street,Woodstock,Bandslam,High School Musical 3: Senior Year,The Cotton Club"
"You've Got Mail,The Salon,The Book Thief,Never Again,Lovely & Amazing,Shallow Hal,Splash,Lage Raho Munna Bhai,Saving Face,Must Love Dogs,Chasing Amy,The Proposal,Annie Hall,Two Can Play That Game,Déjà Vu,Summer Catch,The NeverEnding Story,Newlyweds,Phat Girlz,Just Wright,American Splendor,The Phantom of the Opera,You Can't Take It With You,Shakespeare in Love,True Romance"
"Step Brothers,That's My Boy,Wanted,Anchorman 2: The Legend Continues,Talladega Nights: The Ballad of Ricky Bobby,Wanderlust,Zookeeper,Failure to Launch,Land of the Lost,Couples Retreat,The Invention of Lying,Bridesmaids,Funny People,Open Range,Zombieland,Capote,Freddy Got Fingered,Brothers,Hit & Run,The Other Guys,Grown Ups,The Wolfman,Tim and Eric's Billion Dollar Movie,The Kite Runner,Sahara"
"The Mask of Zorro,The Legend of Zorro,Flying By,Faster,About Schmidt,1982,The R.M.,Copying Beethoven,After Earth,Multiplicity,Jeff, Who Lives at Home,All Is Lost,How to Fall in Love,King's Ransom,Crimson Tide,Should've Been Romeo,Memento,The Legend of Hercules,The Adventures of Elmo in Grouchland,Commando,American Hero,The Whole Ten Yards,Rockaway,The Amazing Spider-Man,Interview with the Assassin"
"Due Date,The Amazing Spider-Man,Should've Been Romeo,Jeff, Who Lives at Home,I Love You, Man,Garden State,Home Fries,20 Dates,Forgetting Sarah Marshall,The Truman Show,Blue Like Jazz,The Last Emperor,Little Big Top,My Cousin Vinny,Gran Torino,Without Limits,Fool's Gold,The Whole Ten Yards,Everything Must Go,Imagine That,Small Apartments,Perrier’s Bounty,The Town,All Is Lost,Disturbia"
"Unbroken,Fort McCoy,Schindler's List,Catch-22,The Imitation Game,U-571,Red Tails,The Great Raid,Lawrence of Arabia,Letters from Iwo Jima,Saints and Soldiers,Miracle at St. Anna,Born on the Fourth of July,Windtalkers,Inchon,Enemy at the Gates,Gods and Generals,Proud,Glory,Fury,A Farewell to Arms,Tea with Mussolini,Born Of War,Woman in Gold,The Thin Red Line"
"Space Cowboys,Interstellar,Jupiter Ascending,Gravity,Sherlock Holmes: A Game of Shadows,Red Planet,Zathura: A Space Adventure,Star Trek: The Motion Picture,Armageddon,Gattaca,Eagle Eye,Training Day,Doom,Lost in Space,Sherlock Holmes,Moonraker,Deep Impact,The Legend of Tarzan,Catwoman,Mindhunters,Blackthorn,The Core,The Right Stuff,Mystic River,The Invasion"
"Cliffhanger,Payback,Grosse Pointe Blank,The Adventures of Elmo in Grouchland,Tycoon,Hudson Hawk,Sherlock Holmes: A Game of Shadows,All Is Lost,Rambo III,Rat Race,Imagine That,Money Monster,Commando,Snow Dogs,Total Recall,Sexy Beast,The Adventurer: The Curse of the Midas Box,Pain & Gain,Rockaway,American Sniper,After Earth,Stop-Loss,Without a Paddle,The Score,The Whole Ten Yards"
"Broken Arrow,Flight of the Phoenix,Good Kill,Unstoppable,Red Sky,X2,Walking Tall,The Wolverine,Sahara,Firefox,X-Men: The Last Stand,The Spanish Prisoner,The French Connection,Glitter,AVP: Alien vs. Predator,X-Men Origins: Wolverine,Collateral Damage,Red Tails,Top Gun,X-Men,Paparazzi,Commando,Prometheus,Behind Enemy Lines,Six Days Seven Nights"
"The Kid,The Motel,The Love Guru,Snow Dogs,The Jungle Book,Bedtime Stories,Meet the Deedles,Inspector Gadget,The Greatest Game Ever Played,The Straight Story,The Emperor's New Groove,Old Dogs,Hocus Pocus,A Simple Wish,Johnson Family Vacation,Pete's Dragon,Fantasia,The Haunted Mansion,The Shaggy Dog,The Adventurer: The Curse of the Midas Box,The Change-Up,Freaky Friday,Ratatouille,Arthur and the Invisibles,The Equalizer"
"World Trade Center,Reno 911!: Miami,Team America: World Police,13 Hours: The Secret Soldiers of Benghazi,Sabotage,The Painted Veil,Extraordinary Measures,The New World,127 Hours,Shalako,Shine,The Bad Lieutenant: Port of Call - New Orleans,Severance,Carlos,Eden,FearDotCom,Vertical Limit,G.I. Joe: The Rise of Cobra,Alexander,Hannibal Rising,Man on Wire,Joe,Stolen,Shadow of the Vampire,Choke"
"Mona Lisa Smile,Little Black Book,Loving Annabelle,Anna and the King,Larry Crowne,From Here to Eternity,The Scarlet Letter,The Monuments Men,Closer,The One,America's Sweethearts,Can't Hardly Wait,Tomcats,Cradle Will Rock,Lords of Dogtown,It's Complicated,Here Comes the Boom,September Dawn,Notes on a Scandal,Stepmom,School Daze,Loser,Bad Teacher,The New Guy,Crooklyn"
"The Dictator,The Truman Show,What's Eating Gilbert Grape,Imagine That,The Hours,In & Out,Bedtime Stories,Stop-Loss,The Gambler,Multiplicity,The Guilt Trip,Jackass: The Movie,The Prince & Me,Down to Earth,21 & Over,It's All Gone Pete Tong,The Love Guru,Disturbia,The SpongeBob SquarePants Movie,The Animal,Days of Thunder,Alfie,Daddy's Home,Elizabethtown,The Firm"
"Eyes Wide Shut,The Loss of Sexual Innocence,Disclosure,Sex, Lies, and Videotape,Baghead,The Good Night,Resurrecting the Champ,Spellbound,Spider,Dangerous Liaisons,Memoirs of an Invisible Man,Bizarre,Salton Sea,Harvard Man,Alexander,I Love Your Work,JFK,Mr. Turner,Adam,Me and Orson Welles,Made in Dagenham,Clay Pigeons,From Justin to Kelly,The Sound and the Shadow,The Best Offer"
"Annie,Choke,Hesher,Timecop,Life or Something Like It,Joy,Stuart Little 2,Percy Jackson: Sea of Monsters,Eulogy,Goosebumps,Moonlight Mile,Joyful Noise,You Can Count on Me,White House Down,Just Wright,My Name Is Khan,Envy,Casino Jack,Death at a Funeral,Girl, Interrupted,Evan Almighty,Evita,We Bought a Zoo,Water for Elephants,Paul Blart: Mall Cop 2"
"Focus,Submarine,Bronson,The Constant Gardener,40 Days and 40 Nights,Movie 43,Imagine Me & You,Idlewild,Copying Beethoven,Nightcrawler,The Game,The 51st State,Coriolanus,We Bought a Zoo,The Good Night,Should've Been Romeo,Hannibal Rising,Blue Valentine,Perrier’s Bounty,Shame,Elizabethtown,Spider,Stitches,The Libertine,Wah-Wah"
"This Means War,Whipped,A Good Day to Die Hard,Date Night,My Best Friend's Girl,Cheri,The Lovers,The Watch,The Other Woman,The Wedding Date,Flyboys,Hitch,Kingdom of Heaven,Must Love Dogs,All About Steve,There's Something About Mary,Ondine,X-Men: First Class,A Sound of Thunder,Khiladi 786,300: Rise of an Empire,Night at the Museum: Battle of the Smithsonian,Disaster Movie,Easy Virtue,L!fe Happens"
"Blade: Trinity,Blade II,Blade,Abraham Lincoln: Vampire Hunter,Underworld: Evolution,X2,The Mortal Instruments: City of Bones,The Core,The Incredible Hulk,Vampires,Dracula 2000,X-Men,Underworld: Awakening,Underworld,The Guard,Daybreakers,Stake Land,The Covenant,Domino,BloodRayne,Underworld: Rise of the Lycans,Mindhunters,Blood Diamond,The League of Extraordinary Gentlemen,Surrogates"
"Red Dawn,Light It Up,UnDivided,21 Jump Street,Only the Strong,The Dirties,Airborne,There Goes My Baby,Mission: Impossible III,Detention,We Need to Talk About Kevin,Red Sky,Graduation Day,The Grey,Submarine,The DUFF,Detention of the Dead,Yentl,Ghost World,The Trials Of Darryl Hunt,Sunday School Musical,Easy A,Wind Walkers,Better Luck Tomorrow,LOL"
"Primary Colors,Ladder 49,Should've Been Romeo,The Whole Ten Yards,I Origins,The Truman Show,Blue Like Jazz,We Bought a Zoo,1982,Caravans,Nixon,Jeff, Who Lives at Home,Hesher,The Last Emperor,Perrier’s Bounty,The Family Man,Imagine That,About Schmidt,London to Brighton,Saint Ralph,The Best Man,Robot & Frank,Last Orders,Nine,Alfie"
"Resident Evil: Retribution,Resident Evil,Resident Evil: Afterlife,Resident Evil: Extinction,Resident Evil: Apocalypse,The Chronicles of Riddick,Mortal Kombat: Annihilation,Death Race 2000,Agent Cody Banks 2: Destination London,Alien: Resurrection,Dawn of the Dead,Re-Kill,Survival of the Dead,World War Z,28 Weeks Later,Pandorum,Escape from the Planet of the Apes,The Day After Tomorrow,Atlas Shrugged Part II,Death Race,Jason X,Teenage Mutant Ninja Turtles: Out of the Shadows,Diary of the Dead,The Last Exorcism Part II,The Expendables 3"
"Death Race,Death Race 2000,Nighthawks,Escape from New York,The Bourne Legacy,The Chronicles of Riddick,Furious 7,The Host,K-19: The Widowmaker,An American Haunting,The Host,The Purge: Anarchy,Assault on Precinct 13,Repo Men,15 Minutes,Doomsday,The Death and Life of Bobby Z,Couples Retreat,Extreme Ops,Battlefield Earth,Daybreakers,The Darkest Hour,The Running Man,Mindhunters,A Sound of Thunder"
"The Long Kiss Goodnight,Tumbleweeds,Snakes on a Plane,Code Name: The Cleaner,Bless the Child,Rush Hour 3,Boiler Room,Glengarry Glen Ross,Mr. & Mrs. Smith,Harsh Times,Mercury Rising,The Gallows,Limbo,Menace II Society,Funny Ha Ha,The Net,Drop Dead Gorgeous,Trust,Appaloosa,The Equalizer,New Year's Eve,After the Sunset,Bad Teacher,Firestarter,Nighthawks"
"Proof of Life,Harper,Poseidon,The Bodyguard,Executive Decision,The Negotiator,No Reservations,Supercross,Ready to Rumble,The Bridges of Madison County,Michael Clayton,The Twilight Saga: Breaking Dawn - Part 2,Switchback,Mystic River,Eraser,Winnie Mandela,Limbo,Life or Something Like It,Eight Legged Freaks,Mickey Blue Eyes,The Matrix Reloaded,Absolute Power,Disclosure,Looney Tunes: Back in Action,Osmosis Jones"
"Zathura: A Space Adventure,Interstellar,Lost in Space,The Indian in the Cupboard,Star Trek: The Motion Picture,Treasure Planet,Space Cowboys,Jupiter Ascending,The 5th Wave,Inkheart,Silent Running,Blackthorn,The Adventures of Huck Finn,2001: A Space Odyssey,Muppets from Space,Ender's Game,Night at the Museum: Battle of the Smithsonian,Moonraker,Krull,The Blue Lagoon,Tomorrowland,Aliens in the Attic,Sheena,The Martian,Shipwrecked"
"Fight Club,Harrison Montgomery,Fantastic Four,Redacted,The Wind That Shakes the Barley,Blindness,Pushing Tin,Made in Dagenham,Headhunters,Ararat,The Dirties,Roll Bounce,Jumping the Broom,The Painted Veil,Jindabyne,The Calling,Severance,Sin City: A Dame to Kill For,The Hotel New Hampshire,The Statement,The Full Monty,Romeo + Juliet,Imagine Me & You,Shame,The Iron Lady"
"We Are Marshall,Seabiscuit,Eden,The Waterboy,The 5th Quarter,Alive,Without Limits,Semi-Pro,Kicking & Screaming,The Judge,Mystery, Alaska,Sherlock Holmes: A Game of Shadows,Lady in the Water,City By The Sea,La Bamba,McFarland, USA,Winter's Tale,Larry Crowne,Lone Survivor,Miracle,Lucky You,Glory Road,Home Run,The Bone Collector,Coach Carter"
"Hudson Hawk,Grosse Pointe Blank,The Truman Show,The Count of Monte Cristo,The Adventures of Elmo in Grouchland,Imagine That,Total Recall,Action Jackson,Faster,The Mask of Zorro,Multiplicity,Interview with the Assassin,The Big Hit,Lethal Weapon 4,Alfie,Sherlock Holmes: A Game of Shadows,After Earth,Rambo III,Commando,3 Strikes,30 Minutes or Less,Let's Go to Prison,The Adventurer: The Curse of the Midas Box,Inspector Gadget,The Whole Ten Yards"
"Lucky Numbers,Grosse Pointe Blank,Top Five,Jackass Number Two,Lethal Weapon 4,The Big Hit,Nothing to Lose,Wayne's World,I Am Number Four,Action Jackson,Pain & Gain,Star Trek VI: The Undiscovered Country,Half Baked,Nightcrawler,Teenage Mutant Ninja Turtles: Out of the Shadows,The Adventures of Ford Fairlane,200 Cigarettes,Everything Must Go,The Fugitive,30 Minutes or Less,King's Ransom,The Adventures of Rocky & Bullwinkle,Inspector Gadget,Donovan's Reef,Sherlock Holmes: A Game of Shadows"
"I, Frankenstein,The Vatican Tapes,Insurgent,The Adventurer: The Curse of the Midas Box,My Name Is Bruce,Paranormal Activity: The Marked Ones,Alone in the Dark,The Crow,The Prince,Demonic,The Spirit,Hellraiser,Batman,Batman,Lord of War,The Lincoln Lawyer,Bullet to the Head,Stitches,Hesher,Lincoln,A Good Day to Die Hard,The Last Witch Hunter,The Skeleton Key,The Prophecy,White Noise"
"Oliver Twist,Oliver!,Amidst the Devil's Wings,Stolen,Harrison Montgomery,Headhunters,Redacted,London Has Fallen,The Spanish Prisoner,Romeo + Juliet,Made in Dagenham,The Bad Lieutenant: Port of Call - New Orleans,Sugar Hill,Trainspotting,My Week with Marilyn,A Shine of Rainbows,The First Great Train Robbery,Adam,Show Me,Vera Drake,Cinderella,Dom Hemingway,The Wind That Shakes the Barley,Spring Breakers,Trance"
"Elektra,The Sentinel,Big Momma's House 2,Freddy Got Fingered,X2,X-Men,Ghost Rider,Pushing Tin,X-Men Origins: Wolverine,Black Knight,Abraham Lincoln: Vampire Hunter,Glitter,Gone Girl,Wanted,Deck the Halls,The Revenant,Don't Say a Word,The Darkest Hour,X-Men: The Last Stand,The Wolverine,Mission: Impossible III,Epic Movie,Sahara,Meet the Spartans,Date Movie"
"Sin City: A Dame to Kill For,Harrison Montgomery,Headhunters,The Calling,Severance,Redacted,Jindabyne,Machete Kills,Made in Dagenham,London Has Fallen,Hannibal Rising,Righteous Kill,The Face of an Angel,Vera Drake,Ararat,The Dirties,Cecil B. Demented,Imagine Me & You,Hostage,Wah-Wah,Stolen,Blindness,The Full Monty,Triangle,The Wind That Shakes the Barley"
"Random Hearts,Lovely, Still,Love Letters,Endless Love,The English Patient,Rebecca,Darling Companion,La Bamba,What Lies Beneath,Closer,Birth,First Knight,The Heart of Me,Married Life,Monster's Ball,Knocked Up,P.S. I Love You,Extremely Loud & Incredibly Close,After,What's Love Got to Do with It,River's Edge,Stepmom,Death Calls,New in Town,Never Again"
"Everest,Rush,Big Miracle,A Walk Among the Tombstones,The World's End,Anna Karenina,The Huntsman: Winter's War,The Interpreter,The Ides of March,Sausage Party,Seabiscuit,O Brother, Where Art Thou?,White Noise,Bridget Jones's Diary,Goosebumps,Atonement,A Dangerous Method,Black Mass,Black Swan,The One,Year One,Bridget Jones: The Edge of Reason,Kinsey,King Kong,Ghostbusters"
"Perfume: The Story of a Murderer,Harrison Montgomery,Headhunters,Hannibal Rising,Stolen,Redacted,Jindabyne,Made in Dagenham,Wah-Wah,Inside Deep Throat,The Full Monty,The Face of an Angel,Ararat,The Dirties,Severance,The Calling,The Bad Lieutenant: Port of Call - New Orleans,Dancer in the Dark,Bathory: Countess of Blood,Vera Drake,Movie 43,Shame,Southland Tales,The Wind That Shakes the Barley,Marie Antoinette"
"Austin Powers in Goldmember,Austin Powers: The Spy Who Shagged Me,Austin Powers: International Man of Mystery,Semi-Pro,Code of Honor,The Fan,Multiplicity,The Love Guru,Imagine That,The Cookout,The Waterboy,Central Intelligence,Ali,Me You and Five Bucks,The Mudge Boy,Copying Beethoven,American Hero,We Are Your Friends,Wild Target,Willard,Vacation,Hellraiser,Stripes,Team America: World Police,Punisher: War Zone"
"Astro Boy,Man of Steel,Robots,Corpse Bride,Mr. Peabody & Sherman,Megamind,Legends of Oz: Dorothy's Return,The Giver,Curious George,RoboCop,Jimmy Neutron: Boy Genius,Titan A.E.,TMNT,The Incredibles,Big Hero 6,The Darkest Hour,Iron Man,Winnie the Pooh,Nicholas Nickleby,The Toxic Avenger,Turbo,The Spirit,The Iron Giant,Delgo,Jungle Shuffle"
"Jurassic Park,The Lost World: Jurassic Park,Jurassic World,Jurassic Park III,Super Mario Bros.,The Nut Job,The Land Before Time,Land of the Lost,The Incredibles,Stuart Little 2,Sea Rex 3D: Journey to a Prehistoric World,Dinosaur,Yogi Bear,Moonlight Mile,Timecop,The Terminal,The Good Dinosaur,Envy,Just Like Heaven,Back to the Future,Bandits,Premonition,The Legend of Zorro,Men in Black II,Meet the Deedles"
"Wyatt Earp,Lone Star,Million Dollar Baby,Jackass: The Movie,Batman Begins,Wild Wild West,Blazing Saddles,Timecop,Paint Your Wagon,Ladder 49,Gangster Squad,The Truman Show,Three Kingdoms: Resurrection of the Dragon,Auto Focus,Silverado,Nicholas Nickleby,The Legend of the Lone Ranger,Looney Tunes: Back in Action,An Unfinished Life,Rockaway,Lucky You,Moonlight Mile,Son of God,The Count of Monte Cristo,Unforgiven"
"Clear and Present Danger,Patriot Games,Jack Ryan: Shadow Recruit,Spy Game,Salt,Topaz,The Sum of All Fears,Sicario,The Hunting Party,JFK,The Great Raid,Restless,Bridge of Spies,Darling Lili,Conspiracy Theory,Desperado,Catch-22,U-571,The Bourne Supremacy,Harriet the Spy,The Bourne Ultimatum,Glory,Extreme Ops,Body of Lies,Scarface"
"Little Man,House of Sand and Fog,Stone,Superbabies: Baby Geniuses 2,Baby Geniuses,Gangster's Paradise: Jerusalema,House at the End of the Drive,Stealing Harvard,PCU,Payback,What to Expect When You're Expecting,Let's Go to Prison,Mother and Child,Out of the Furnace,Our Idiot Brother,The Perfect Host,The Dark Knight,3 Strikes,Baby's Day Out,Hellraiser,Hell's Angels,Deadpool,Thir13en Ghosts,Disturbia,Tango & Cash"
"U-571,Fury,The Great Raid,Unbroken,Schindler's List,Fort McCoy,Catch-22,Red Tails,Lawrence of Arabia,Inglourious Basterds,Glory,Letters from Iwo Jima,The Thin Red Line,Flight of the Intruder,Saints and Soldiers,Born on the Fourth of July,Enemy at the Gates,Miracle at St. Anna,Windtalkers,Sands of Iwo Jima,The Great Escape,Gods and Generals,A Bridge Too Far,Tora! Tora! Tora!,The Imitation Game"
"The American President,American Hustle,Nixon,Black or White,Home Fries,Lone Star,My Fellow Americans,Envy,And So It Goes,Drumline,Absolute Power,Hesher,Moonlight Mile,Choke,Invictus,White House Down,Man of the Year,Water,Elsa & Fred,The Namesake,Just Wright,My Name Is Khan,What's Eating Gilbert Grape,The Story of Us,Imagine That"
"The Love Guru,Should've Been Romeo,Imagine That,Jeff, Who Lives at Home,The Whole Ten Yards,1982,Multiplicity,All Is Lost,Me You and Five Bucks,Back to the Future,Alfie,Love Happens,How to Fall in Love,Take Me Home Tonight,The Adventures of Elmo in Grouchland,Wimbledon,Grosse Pointe Blank,Ali,High Fidelity,Everything Must Go,The Truman Show,Elizabethtown,A Beautiful Mind,The Fan,The Muse"
"3000 Miles to Graceland,Lethal Weapon 4,Get Carter,Sherlock Holmes: A Game of Shadows,Looney Tunes: Back in Action,Shooter,MacGruber,Chill Factor,The Ladykillers,Pain & Gain,Ocean's Eleven,Night at the Museum: Battle of the Smithsonian,Casino Jack,The Sitter,Grosse Pointe Blank,The Blind Side,Troy,Monty Python and the Holy Grail,Cliffhanger,The Usual Suspects,Michael Collins,Action Jackson,Swordfish,The Godfather,The Whole Nine Yards"
"The Hateful Eight,Awake,The Spanish Prisoner,Django Unchained,Freedom Writers,Shine,Basic,Amidst the Devil's Wings,Trance,Redacted,Love Me Tender,Inherent Vice,All Good Things,Dom Hemingway,Smilla's Sense of Snow,The Boys from Brazil,Double Jeopardy,Carlos,Lucky Number Slevin,Roll Bounce,A Walk Among the Tombstones,Headhunters,The Skeleton Key,Pulp Fiction,Trainspotting"
"Blades of Glory,Miracle,Khiladi 786,Chill Factor,The Road to El Dorado,I Spy,Never Back Down 2: The Beatdown,The Helix... Loaded,Paint Your Wagon,Ready to Rumble,Ice Age,The Bad News Bears,The Four Seasons,Team America: World Police,Beat the World,Ice Princess,Tank Girl,School for Scoundrels,The Ice Pirates,The Last Castle,Grudge Match,Mad Hot Ballroom,Ice Age: The Meltdown,Rush,Chicago"
"Hop,Cars 2,The Rundown,Minions,Super Mario Bros.,Curious George,Paul Blart: Mall Cop 2,Surf's Up,Despicable Me 2,The Majestic,We Bought a Zoo,Welcome Home Roscoe Jenkins,Envy,Back to the Future Part II,Stuart Little 2,Get Him to the Greek,The Flintstones in Viva Rock Vegas,The Santa Clause,Alvin and the Chipmunks: The Road Chip,You, Me and Dupree,The Lego Movie,The Boxtrolls,Kicking & Screaming,The Nutty Professor,Napoleon Dynamite"
"300,300: Rise of an Empire,The Hobbit: The Battle of the Five Armies,Alexander,Underworld: Rise of the Lycans,Letters from Iwo Jima,The Thin Red Line,Glory,Gettysburg,Captain America: Civil War,Superman IV: The Quest for Peace,The Scorpion King,Lethal Weapon 4,Looney Tunes: Back in Action,Lone Survivor,We Were Soldiers,Highlander,Night at the Museum: Battle of the Smithsonian,G.I. Jane,One Man's Hero,TRON: Legacy,Punisher: War Zone,Legend of the Guardians: The Owls of Ga'Hoole,Monty Python and the Holy Grail,The League of Extraordinary Gentlemen"
"Meet the Fockers,Little Fockers,My Big Fat Greek Wedding,Meet the Parents,Guess Who,Out of Sight,Date Movie,Back to the Future,Big Daddy,Monster-in-Law,Larry Crowne,Becoming Jane,Ride Along 2,Shrek 2,The Holiday,Legally Blonde 2: Red, White & Blonde,The Interview,You Again,While We're Young,Stick It,The Front Page,Brothers,You, Me and Dupree,The Scarlet Letter,Woo"
"Marley & Me,Marmaduke,The Shaggy Dog,Hachi: A Dog's Tale,Diary of a Wimpy Kid,Mr. Popper's Penguins,Elsa & Fred,Up,My Dog Skip,Gulliver's Travels,Ramona and Beezus,Foodfight!,Eight Below,City Island,Eulogy,Percy Jackson: Sea of Monsters,Red Dog,The Secret Life of Pets,Max,The Boxtrolls,Max Payne,We Bought a Zoo,Good Boy!,The Hundred-Foot Journey,Death Sentence"
"The Green Mile,Winter's Tale,White Oleander,Analyze That,Hereafter,Michael Clayton,Mystic River,RockNRolla,Butterfly on a Wheel,Whiteout,Space Jam,The Spanish Prisoner,Salton Sea,Twilight,Troy,Double Jeopardy,Moonlight Mile,Batman & Robin,Murder by Numbers,Eyes Wide Shut,The Losers,Prisoners,Redemption Road,Extremely Loud & Incredibly Close,August Rush"
"Wild Hogs,Sahara,Khiladi 786,Rudderless,Wild Wild West,The River Wild,Sherlock Holmes: A Game of Shadows,Anchorman 2: The Legend Continues,The Out-of-Towners,30 Minutes or Less,Corky Romano,The Last Dragon,Duets,Herbie Fully Loaded,3 Ninjas Kick Back,Harold & Kumar Escape from Guantanamo Bay,Rugrats Go Wild,Alvin and the Chipmunks: The Road Chip,Dick Tracy,Nighthawks,The Adventures of Rocky & Bullwinkle,Into the Wild,Action Jackson,Ghostbusters,A Lot Like Love"
"Chicken Little,Return to Never Land,Winnie the Pooh,Dinosaur,Atlantis: The Lost Empire,Big Hero 6,Teacher's Pet,Planet 51,The Princess and the Frog,Treasure Planet,Toy Story 3,A Bug's Life,Pocahontas,Lilo & Stitch,Meet the Deedles,The Jungle Book 2,Mulan,Barnyard,Fantasia,Home on the Range,Cars 2,The Lion King,Frozen,Bolt,Tangled"
"Gone Girl,The Devil's Advocate,Joy Ride,Elektra,The Sentinel,Runner Runner,Black Knight,Don't Say a Word,Victor Frankenstein,High Crimes,In the Valley of Elah,Just My Luck,The Rundown,Paparazzi,The Marine,Devil's Due,The Sound and the Shadow,12 Years a Slave,The Revenant,Big Mommas: Like Father, Like Son,Fantastic Four,Mirrors,Bulworth,Deadline - U.S.A.,Broken City"
"The Bourne Identity,The Bourne Supremacy,The Bourne Legacy,The Bourne Ultimatum,Jason Bourne,Rampage,The Life of David Gale,Killers,The Scorpion King,Salton Sea,The Gunman,Lucky Number Slevin,Spy Game,London to Brighton,World War Z,Vanilla Sky,Extreme Ops,I Love Your Work,The Good Thief,Contraband,Lucky You,The Musketeer,Wanted,Shutter Island,Edge of Darkness"
"GoldenEye,Diamonds Are Forever,Licence to Kill,Octopussy,Live and Let Die,Die Another Day,Dr. No,On Her Majesty's Secret Service,Goldfinger,Moonraker,For Your Eyes Only,Quantum of Solace,The Spy Who Loved Me,The Man with the Golden Gun,The Living Daylights,A View to a Kill,From Russia with Love,Deterrence,Never Say Never Again,Tomorrow Never Dies,Sahara,You Only Live Twice,Around the World in 80 Days,Thunderball,Casino Royale"
"The General's Daughter,The Life of David Gale,The Pledge,Edge of Darkness,Deadfall,G.I. Jane,Child 44,Wonderland,Murder by Numbers,Angels & Demons,A Walk Among the Tombstones,Insomnia,Slow Burn,The Order,Courage Under Fire,The Spanish Prisoner,Regression,Absolute Power,The Postman Always Rings Twice,Frailty,In the Valley of Elah,Hanging Up,Casino Jack,Double Jeopardy,Sphinx"
"The Truman Show,Jeff, Who Lives at Home,Alfie,Copying Beethoven,Multiplicity,Flying By,Chuck & Buck,1982,Should've Been Romeo,Me You and Five Bucks,The Whole Ten Yards,The Adventures of Elmo in Grouchland,Take Me Home Tonight,The Mudge Boy,Gran Torino,I Origins,The R.M.,Manito,The Animal,Interview with the Assassin,What's Eating Gilbert Grape,Sexy Beast,Wish I Was Here,Little Big Top,How to Fall in Love"
"The Prince of Egypt,Spirit: Stallion of the Cimarron,Shrek the Third,Madagascar,Flushed Away,Sinbad: Legend of the Seven Seas,The Curse of the Were-Rabbit,The Tale of Despereaux,Shrek 2,Shrek Forever After,Shrek,Puss in Boots,Antz,Turbo,Shark Tale,Barnyard,The Road to El Dorado,The Croods,Rio,Kung Fu Panda 3,Monsters vs Aliens,Kung Fu Panda 2,Pocahontas,Rise of the Guardians,Penguins of Madagascar"
"Daddy Day Care,Groundhog Day,28 Days,Ri¢hie Ri¢h,Daddy Day Camp,Another Happy Day,Grown Ups 2,Envy,The One,Diary of a Wimpy Kid: Dog Days,Baggage Claim,The Hundred-Foot Journey,Premonition,Joy,Old School,Alexander and the Terrible, Horrible, No Good, Very Bad Day,Bride Wars,The Ten,The Rundown,Hop,Draft Day,Eulogy,Nanny McPhee,Toy Story 3,Herbie Fully Loaded"
"2 Guns,Mad Money,Point Break,Taxman,Made,2 Fast 2 Furious,Big Mommas: Like Father, Like Son,The Last Shot,Undercover Brother,Office Space,X-Men: The Last Stand,End of Watch,Big Momma's House 2,The Heat,The Infiltrator,Midnight Run,The Sentinel,The Fast and the Furious,The Brass Teapot,Amidst the Devil's Wings,Whiteout,X-Men,The Big Lebowski,Legal Eagles,The Punisher"
"Cats & Dogs,Cats & Dogs 2 : The Revenge of Kitty Galore,The Cat in the Hat,My Dog Skip,The Shaggy Dog,Jupiter Ascending,Dark Shadows,American Sniper,Sherlock Holmes: A Game of Shadows,Charlie and the Chocolate Factory,Analyze That,Max,Screwed,Inspector Gadget,Eight Below,Hachi: A Dog's Tale,Stuart Little 2,Good Boy!,Swordfish,License to Wed,Speed Racer,Happy Feet Two,Envy,The Matrix Revolutions,The Lego Movie"
"The Italian Job,Heist,Undisputed,Dom Hemingway,The Interpreter,Perrier’s Bounty,1941,Hit & Run,Faster,Wild Target,Code of Honor,Nightcrawler,The Big Lebowski,The Usual Suspects,King's Ransom,Pain & Gain,R.I.P.D.,S.W.A.T.,Training Day,Four Brothers,Gone in Sixty Seconds,Street Fighter: The Legend of Chun-Li,Romeo Is Bleeding,The Death and Life of Bobby Z,The Night Visitor"
"Two Weeks Notice,Thinner,No Reservations,Music and Lyrics,Obvious Child,Envy,The Majestic,The Lincoln Lawyer,The Other End of the Line,Miss Congeniality 2: Armed and Fabulous,A Sound of Thunder,Eight Legged Freaks,The Twilight Saga: Eclipse,Legal Eagles,Dreamcatcher,It's Complicated,The Story of Us,An Alan Smithee Film: Burn, Hollywood, Burn,Miss Congeniality,When Harry Met Sally...,Before Sunset,Undiscovered,The Legend of Tarzan,Timecop,Don't Say a Word"
